,image_link,product_name,link,price,description,domain
469,https://www3.assets-gap.com/webcontent/0016/651/184/cn16651184.jpg,Washable Merino Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=427896002&cid=51420&pcid=5032,98.0,"Classic cardigan styling, in a modern, relaxed fit and shorter length that's perfect over dresses or worn with high-waisted jeans and pants.",Banana Republic
470,https://www4.assets-gap.com/webcontent/0016/655/574/cn16655574.jpg,Washable Merino Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=427896012&cid=51420&pcid=5032,98.0,"Classic cardigan styling, in a modern, relaxed fit and shorter length that's perfect over dresses or worn with high-waisted jeans and pants.",Banana Republic
471,https://www4.assets-gap.com/webcontent/0016/666/954/cn16666954.jpg,Washable Merino Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=427896042&cid=51420&pcid=5032,98.0,"Classic cardigan styling, in a modern, relaxed fit and shorter length that's perfect over dresses or worn with high-waisted jeans and pants.",Banana Republic
472,https://www4.assets-gap.com/webcontent/0016/549/713/cn16549713.jpg,Silk Cotton Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425170002&cid=51420&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
473,https://www2.assets-gap.com/webcontent/0016/549/687/cn16549687.jpg,Silk Cotton Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425170012&cid=51420&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
474,https://www2.assets-gap.com/webcontent/0016/549/699/cn16549699.jpg,Silk Cotton Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425170022&cid=51420&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
475,https://www4.assets-gap.com/webcontent/0016/555/729/cn16555729.jpg,Silk Cotton Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425170032&cid=51420&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
476,https://www3.assets-gap.com/webcontent/0016/549/746/cn16549746.jpg,Silk Cotton Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425170042&cid=51420&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
477,https://www3.assets-gap.com/webcontent/0016/783/884/cn16783884.jpg,Metallic Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425352002&cid=51420&pcid=5032,89.5,"Classic cardigan styling, in a modern, relaxed fit and shorter length that's perfect over dresses or worn with high-waisted jeans and pants.",Banana Republic
478,https://www1.assets-gap.com/webcontent/0016/700/893/cn16700893.jpg,Metallic Cropped Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425352012&cid=51420&pcid=5032,89.5,"Classic cardigan styling, in a modern, relaxed fit and shorter length that's perfect over dresses or worn with high-waisted jeans and pants.",Banana Republic
