link,product_name,price,image_link,brand
http://us.topshop.com/en/tsus/product/clothing-70483/tiedye-cami-bikini-crop-top-8530028,Tie Dye Cami Bikini Crop Top,$30.00,https://images.topshop.com/i/TopShop/TS03P34QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/fliss-wrap-sandal-8519124,FLISS Wrap Sandals,$68.00,https://images.topshop.com/i/TopShop/TS32F07QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/black-ring-side-chiffon-dress-8530196,Black Ring Side Chiffon Dress,$55.00,https://images.topshop.com/i/TopShop/TS03H02QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/s19-kha-tapered-8528238,Khaki Tapered Denim Jacket,$80.00,https://images.topshop.com/i/TopShop/TS05J59QKHA_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/stripe-button-bow-cami-8522055,Stripe Button Bow Cami,$30.00,https://images.topshop.com/i/TopShop/TS04S14QTOB_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/satin-full-circle-midi-skirt-8508877,Satin Full Circle Midi Skirt,$75.00,https://images.topshop.com/i/TopShop/TS27A22QMGD_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/graphic-palm-print-bowler-shirt-8572871,Graphic Palm Print Bowler Shirt,$55.00,https://images.topshop.com/i/TopShop/TS13M31QGRN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/indigo-jamie-jean-8548808,Indigo Jamie Jeans,$70.00,https://images.topshop.com/i/TopShop/TS02K09PIND_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallpointelle-vest-8438244,TALL Pointelle Vest,$18.00,https://images.topshop.com/i/TopShop/TS30G21QSND_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tiedye-tanga-bikini-bottoms-8530033,Tie Dye Tanga Bikini Bottoms,$22.00,https://images.topshop.com/i/TopShop/TS03P35QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/washed-cropped-t-shirt-8491422,Washed Cropped T-Shirt,$14.00,https://images.topshop.com/i/TopShop/TS09A14QSTN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallself-belt-animal-8566183,TALL Self Belt Animal Dress,$75.00,https://images.topshop.com/i/TopShop/TS30D24QTAN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/grey-tie-dye-bandeau-dress-8574254,Grey Tie Dye Bandeau Dress,$38.00,https://images.topshop.com/i/TopShop/TS10J59QGRY_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/blue-bikini-8580065?bundle=true,Blue Ribbed Bikini Set,$56.00,https://images.topshop.com/i/TopShop/BUNDLE_03L02QDEN03L03QDEN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallutility-midi-shirt-dress-8566181,TALL Black Utility Midi Shirt Dress,$85.00,https://images.topshop.com/i/TopShop/TS30D22QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/esquare-nck-vst-blk-8564171,**Black Square Neck Ribbed Vest by Boutique,$38.00,https://images.topshop.com/i/TopShop/TS25J05QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallprnt-horn-ring-flippy-8519166,TALL Print Horn Ring Flippy Dress,$40.00,https://images.topshop.com/i/TopShop/TS30D10QRST_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tommy-hilfiger-brazilian-pant-8543641,Brazilian Bottoms by Tommy Hilfiger,$75.00,https://images.topshop.com/i/TopShop/TS03X51QMUL_M_1.jpg?$Large$,TopShop
