link,product_name,price,image_link,brand,desc
http://us.topshop.com/en/tsus/product/clothing-70483/cherry-pink-chunky-trainers-8574069,CHERRY Pink Chunky Trainers,65.00,https://images.topshop.com/i/TopShop/TS42C10QBLS_M_1.jpg?$Large$,TopShop,These super chunky trainers with exaggerated outsole are a step in the right stylish direction. This season we are wearing our 'dad' inspired sneakers with denim and even dreamy dresses. These casual and cool kicks have street style status! Upper: Polyurethane and Textile. Specialist clean only.
http://us.topshop.com/en/tsus/product/clothing-70483/ctjsplit-midi-skirt-8488396,Split Midi Skirt,55.00,https://images.topshop.com/i/TopShop/TS23D08QGRY_M_1.jpg?$Large$,TopShop,"This split midi skirt will create a spring summer-ready twist to your outfit. We love modern shapes this season, super sleek in design. 63% Viscose, 37% Polyamide. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/leather-bomber-8564173,**Leather Bomber Jacket by Boutique,475.00,https://images.topshop.com/i/TopShop/TS25L10QOFF_M_1.jpg?$Large$,TopShop,This bomber jacket is designed in an off white leather. Boutique always brings the latest and high-quality pieces that last in your wardrobe for years and years. 100% Leather. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/gold-glitter-camisole-crop-top-8572230,Gold Glitter Camisole Crop Top,38.00,https://images.topshop.com/i/TopShop/TS03L30QGLD_M_1.jpg?$Large$,TopShop,"This gold glitter camisole crop top adds a golden glow to your swimwear look. 77% Polyamide, 14% Metallised Fibre, 9% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/ctbrib-hneck-tank-8488397,Ribbed High Neck Tank,40.00,https://images.topshop.com/i/TopShop/TS23D09QGRY_M_1.jpg?$Large$,TopShop,"This ribbed high neck tank will add a modern minimalist twist to your outfit. We love it with a high waisted split detailed skirt for flattering ready-to-wear style. 63% Viscose, 37% Polyamide. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tiedye-cami-bikini-crop-top-8530028,Tie Dye Cami Bikini Crop Top,30.00,https://images.topshop.com/i/TopShop/TS03P34QMUL_M_1.jpg?$Large$,TopShop,"Tap to the trending tie dye summer style with this cami bikini crop top. 81% Polyester, 19% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/fliss-wrap-sandal-8519124,FLISS Wrap Sandals,68.00,https://images.topshop.com/i/TopShop/TS32F07QBLK_M_1.jpg?$Large$,TopShop,"Modern footwear is the way forward, embrace a summer-ready style with these platform sandals with wrap detail. Upper: Polyurethane. Specialist clean only."
http://us.topshop.com/en/tsus/product/clothing-70483/black-ring-side-chiffon-dress-8530196,Black Ring Side Chiffon Dress,55.00,https://images.topshop.com/i/TopShop/TS03H02QBLK_M_1.jpg?$Large$,TopShop,Every girl needs a number they can just throw over their bikini or swimming costume. This black ring side chiffon beach dress will do just the trick. 100% Polyester. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/s19-kha-tapered-8528238,Khaki Tapered Denim Jacket,80.00,https://images.topshop.com/i/TopShop/TS05J59QKHA_M_1.jpg?$Large$,TopShop,Add some cool new-season style with this urban khaki tapered denim jacket. The outerwear number works well with white or blue denim jeans. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/stripe-button-bow-cami-8522055,Stripe Button Bow Cami,30.00,https://images.topshop.com/i/TopShop/TS04S14QTOB_M_1.jpg?$Large$,TopShop,"This camisole top with buttons through centre front is designed with a stylish tie back. We love the tobacco brown and cream coloured vertical stripe pattern - a classic summertime look. 47% Viscose, 44% Nylon, 9% Polyester. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/satin-full-circle-midi-skirt-8508877,Satin Full Circle Midi Skirt,75.00,https://images.topshop.com/i/TopShop/TS27A22QMGD_M_1.jpg?$Large$,TopShop,"This satin full circle midi skirt in marigold is beyond gorgeous. Keep the style focus on the golden shade and pair with a black cute camisole top. 95% Polyester, 5% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/graphic-palm-print-bowler-shirt-8572871,Graphic Palm Print Bowler Shirt,55.00,https://images.topshop.com/i/TopShop/TS13M31QGRN_M_1.jpg?$Large$,TopShop,The bowler is the latest must-have design in the fashion world. We are loving this summer-ready graphic palm print on this shirt and are tucking it into crisp white jeans. 100% Polyester. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/indigo-jamie-jean-8548808,Indigo Jamie Jeans,70.00,https://images.topshop.com/i/TopShop/TS02K09PIND_M_1.jpg?$Large$,TopShop,"These high rise, ankle grazing skinny jeans in indigo power stretch denim have timeless charm. Our Jamie's will always be a go-to and classic choice of denim, and can be dressed both up and down. 93% Cotton, 5% Polyester, 2% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tallpointelle-vest-8438244,TALL Pointelle Vest,18.00,https://images.topshop.com/i/TopShop/TS30G21QSND_M_1.jpg?$Large$,TopShop,"This TALL pointelle vest is so classic and minimal for warmer weather. You an wear it solo or layer a top over the piece for a transitional effect. 79% Cotton, 18% Polyester, 3% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/tiedye-tanga-bikini-bottoms-8530033,Tie Dye Tanga Bikini Bottoms,22.00,https://images.topshop.com/i/TopShop/TS03P35QMUL_M_1.jpg?$Large$,TopShop,"Tap to the trending tie dye summer style with these tanga bikini bottoms. 81% Polyester, 19% Elastane. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/washed-cropped-t-shirt-8491422,Washed Cropped T-Shirt,14.00,https://images.topshop.com/i/TopShop/TS09A14QSTN_M_1.jpg?$Large$,TopShop,This short sleeve washed cropped t-shirt with raw edge hem is a wardrobe staple this season and beyond. For instant style add some denim jeans. 100% Cotton. Machine wash.
http://us.topshop.com/en/tsus/product/clothing-70483/tallself-belt-animal-8566183,TALL Self Belt Animal Dress,75.00,https://images.topshop.com/i/TopShop/TS30D24QTAN_M_1.jpg?$Large$,TopShop,"This TALL self belted animal dress is a stylish nod to the animal trend. Bold, modern, fun - this is the dress you will be needing for the season. 100% Viscose. Machine wash."
http://us.topshop.com/en/tsus/product/clothing-70483/grey-tie-dye-bandeau-dress-8574254,Grey Tie Dye Bandeau Dress,38.00,https://images.topshop.com/i/TopShop/TS10J59QGRY_M_1.jpg?$Large$,TopShop,"Inspired by the catwalk style, this bandeau midi dress is the latest trendy number to own. Designed in grey tie dye print, this creates a unique and retro look that works with trainers as much as it does with heels. 96% Polyester, 4% Elastane. Machine wash."
