prod_page_link,image_link,name,price,description,brand
https://www2.hm.com/en_us/productpage.0681178002.html,"http://lp2.hm.com/hmgoepprod?set=source[/fb/2a/fb2af3fb16ec3d56c30f930031d6637f7dfce434.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",T-shirt Dress,17.99,"Short dress in jersey with a round neckline, dropped shoulders, and short sleeves.",H&M
https://www2.hm.com/en_us/productpage.0700835002.html,"http://lp2.hm.com/hmgoepprod?set=source[/ee/92/ee92853c8b67b6121c3263a52ad6e37e1ebcbf40.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Ribbed Wrap-front Dress,34.99,"Calf-length dress in rib-knit fabric with a sheen. Wrapover front, ties at waist, and long sleeves.",H&M
https://www2.hm.com/en_us/productpage.0762063001.html,"http://lp2.hm.com/hmgoepprod?set=source[/79/c7/79c7127011d80e3649ac6bb4af049b321df65242.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Crêped Wrap-front Dress,29.99,"Short wrap dress in airy, woven, crêped fabric. V-neck, ties at waist, and long sleeves with flounced cuff. Gently flared skirt with seam and flounce at hem. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0608013008.html,"http://lp2.hm.com/hmgoepprod?set=source[/6f/2c/6f2cda18e11c62867a6d8f15aec36ff062589817.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Long Bandeau Dress,69.99,"Long bandeau dress in airy, woven fabric with draping at top. Silicone trim inside upper edge, boning in bodice, and detachable, adjustable shoulder straps. Concealed zip at back. Lined.",H&M
https://www2.hm.com/en_us/productpage.0724570002.html,"http://lp2.hm.com/hmgoepprod?set=source[/14/a8/14a8df1fd08102041d0dcf47901f2fac018f8be4.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Lace-trimmed Dress,49.99,"Short dress in woven fabric with lace trim inserts. V-neck, cap sleeves, and concealed side zip. Seam at waist and flared skirt. Jersey lining at top.",H&M
https://www2.hm.com/en_us/productpage.0720572002.html,"http://lp2.hm.com/hmgoepprod?set=source[/a5/de/a5dea72dc74b666d8087bc70141d3ca2884e5084.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Short Dress,9.99,"Short dress in viscose-blend jersey with narrow shoulder straps, seam at waist, and a gently flared skirt. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0758862003.html,"http://lp2.hm.com/hmgoepprod?set=source[/8e/bb/8ebbd1ee099df9727629e01268c2e2fa1c319593.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Ribbed Dress,17.99,Fitted calf-length dress in ribbed viscose jersey. V-neck and narrow shoulder straps. Slit at back.,H&M
https://www2.hm.com/en_us/productpage.0717213006.html,"http://lp2.hm.com/hmgoepprod?set=source[/b9/9e/b99e1924fa4715c3c202eb8d23ed2ad32ef0a6b2.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Patterned Dress,49.99,"Short dress in airy, woven fabric with a printed pattern. Narrow cut at top with short, braided shoulder straps, opening at front, and opening at back of neck with a concealed hook-and-eye fastener. Gathered seam at waist and a concealed side zip. Lined.",H&M
https://www2.hm.com/en_us/productpage.0732725001.html,"http://lp2.hm.com/hmgoepprod?set=source[/d1/44/d144cc1141bdba5e693c590f5bb2e82a96291f68.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Shirt Dress,29.99,"Short, V-neck dress in soft denim with a collar. Snap fasteners at front, short sleeves, and chest pockets with pleat. Removable tie belt at waist and short slits at sides. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0743869001.html,"http://lp2.hm.com/hmgoepprod?set=source[/27/1a/271a20d3ff38d361e990bebd3dbcba58b42a98e5.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Wrap dress,29.99,"Short, V-neck dress in stretch jersey with long sleeves and a wrapover front with a tie detail at one side.",H&M
https://www2.hm.com/en_us/productpage.0702933006.html,"http://lp2.hm.com/hmgoepprod?set=source[/cb/dc/cbdc1f26402b4c5bff9e0c6babfb3c8ba3bdbc61.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Hooded Sweatshirt Dress,29.99,"Short cotton-blend sweatshirt dress with a printed motif at front. Lined drawstring hood, kangaroo pocket, dropped shoulders, and long sleeves. Ribbing at cuffs and hem.",H&M
https://www2.hm.com/en_us/productpage.0720897001.html,"http://lp2.hm.com/hmgoepprod?set=source[/3d/24/3d24f4a2c6bfc63ff3de44b14f35063e24d87530.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Chiffon Maxi Dress,24.99,"Maxi dress in airy chiffon with a V-neck at front and back. Narrow shoulder straps, elasticized seam at waist, and long skirt with high slits at sides. Lined.",H&M
https://www2.hm.com/en_us/productpage.0708678003.html,"http://lp2.hm.com/hmgoepprod?set=source[/05/10/0510718e2ffbb1336b333f9c54bee976fd27f832.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Hooded Sweatshirt Dress,29.99,"Short dress in sweatshirt fabric with a printed motif at front. Lined, drawstring hood, dropped shoulders, and long sleeves with ribbed cuffs. Slits at sides of hem. Soft, brushed inside.",H&M
https://www2.hm.com/en_us/productpage.0714827001.html,"http://lp2.hm.com/hmgoepprod?set=source[/09/f7/09f73c068bef082a7ba29d9ef8de33de083d4c8b.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Sleeveless Viscose Dress,17.99,"Sleeveless, knee-length dress in woven viscose fabric. Collar, buttons at front and tie detail at waist. Seam at waist with elastication at back, open section at front, and A-line skirt. Unlined.",H&M
